ensemble,Δx,compressor,metric,n,mean_direct,p_value_vs_0,outlier_frac_>2sd
uniform40,0.01,gzip,r_PhIIb,50,-0.9786653560964413,2.020831581281629e-102,0.04
uniform40,0.01,gzip,r_Rg,50,0.8852992886083156,1.0558208845498011e-83,0.04
uniform40,0.01,gzip,r_NND,50,0.8514213895569285,4.067586877586492e-83,0.08
uniform40,0.01,gzip,r_Var,50,0.7242437440582907,4.0846106447468953e-72,0.04
uniform40,0.01,lzma,r_PhI,50,0.4293615701947547,6.5260559456139565e-18,0.04
uniform40,0.01,lzma,r_PhIIa,50,-0.9549991691622369,1.558281306228756e-92,0.02
uniform40,0.01,lzma,r_PhIIb,50,-0.9504885518556283,5.2173462556748046e-95,0.02
uniform40,0.01,lzma,r_Rg,50,0.9286976570445052,2.261502849980356e-86,0.04
uniform40,0.01,lzma,r_NND,50,0.902591352689517,9.154672281013401e-83,0.06
uniform40,0.01,lzma,r_Var,50,0.7928961439549278,1.2691913803618932e-72,0.04
uniform40,0.01,none,r_PhI,50,0.0,,0.0
uniform40,0.01,none,r_PhIIa,50,0.0,,0.0
uniform40,0.01,none,r_PhIIb,50,0.0,,0.0
uniform40,0.01,none,r_Rg,50,0.0,,0.0
uniform40,0.01,none,r_NND,50,0.0,,0.0
uniform40,0.01,none,r_Var,50,0.0,,0.0
uniform40,0.01,zstd,r_PhI,50,0.20385050236602276,8.117638095341211e-06,0.06
uniform40,0.01,zstd,r_PhIIa,50,-0.9908716207140145,1.5643925239234458e-123,0.04
uniform40,0.01,zstd,r_PhIIb,50,-0.9906262533693065,1.5913557363598256e-120,0.06
uniform40,0.01,zstd,r_Rg,50,0.8504351722661987,1.5206817499788658e-80,0.04
uniform40,0.01,zstd,r_NND,50,0.8116808938943627,2.0385474453150822e-79,0.02
uniform40,0.01,zstd,r_Var,50,0.6731244546085203,1.2964827111497501e-69,0.04
uniform40,0.1,bz2,r_PhI,50,0.3235941780148632,3.3403233545234386e-14,0.08
uniform40,0.1,bz2,r_PhIIa,50,-0.9896657679535581,5.785475412176677e-121,0.02
uniform40,0.1,bz2,r_PhIIb,50,-0.9894519542555312,1.408194593551889e-120,0.06
uniform40,0.1,bz2,r_Rg,50,0.8537091812787372,3.0792737833907213e-78,0.06
uniform40,0.1,bz2,r_NND,50,0.8160177013754756,2.5581620412261547e-76,0.06
uniform40,0.1,bz2,r_Var,50,0.6753514355903856,1.4979311339131077e-66,0.06
uniform40,0.1,gzip,r_PhI,50,0.4281328138323065,2.255117172666963e-18,0.02
uniform40,0.1,gzip,r_PhIIa,50,-0.9893519542498556,3.350443822281653e-118,0.06
uniform40,0.1,gzip,r_PhIIb,50,-0.988190415040525,2.1076567311513344e-122,0.04
uniform40,0.1,gzip,r_Rg,50,0.8717759053815489,3.4460574125142974e-82,0.04
uniform40,0.1,gzip,r_NND,50,0.835699112562796,6.4896689068294964e-80,0.02
uniform40,0.1,gzip,r_Var,50,0.7007742301551034,9.475717058778395e-71,0.02
uniform40,0.1,lzma,r_PhI,50,0.4293615701947547,6.5260559456139565e-18,0.04
uniform40,0.1,lzma,r_PhIIa,50,-0.9775480961076556,6.576459176870221e-104,0.04
uniform40,0.1,lzma,r_PhIIb,50,-0.9728008450106074,4.825183430846032e-100,0.04
uniform40,0.1,lzma,r_Rg,50,0.792859029267343,5.703360290937575e-65,0.06
uniform40,0.1,lzma,r_NND,50,0.7507897601237103,3.475117038139143e-63,0.06
uniform40,0.1,lzma,r_Var,50,0.5999216368013911,9.775197512756351e-54,0.08
uniform40,0.1,none,r_PhI,50,0.0,,0.0
uniform40,0.1,none,r_PhIIa,50,0.0,,0.0
uniform40,0.1,none,r_PhIIb,50,0.0,,0.0
uniform40,0.1,none,r_Rg,50,0.0,,0.0
uniform40,0.1,none,r_NND,50,0.0,,0.0
uniform40,0.1,none,r_Var,50,0.0,,0.0
